Sensor,Traffic Flow,Red Light Flow,Battery Power Level%,Light Status,Bulb Status,Accident Status,Gunshot 
NS1,14,0,62,G,N/A,0,0,
NS1,16,0,74,G,N/A,0,0,
NS1,22,0,69,G,N/A,0,0,
NS1,11,0,64,G,N/A,0,0,
NS1,0,0,58,A,N/A,0,0,
NS1,22,0,78,A,N/A,0,0,
NS1,18,0,67,A,N/A,0,0,
NS1,21,0,70,A,N/A,0,0,
NS1,4,0,84,A,N/A,0,0,
NS1,0,2,96,R,N/A,0,0,
NS1,0,3,56,R,N/A,0,0,
NS1,0,1,59,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,71,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,77,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,63,R,N/A,1,0,
NS1,0,0,59,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,49,R,N/A,0,0,
NS1,0,0,71,R,N/A,0,0,
NS1,0,0,78,R,N/A,0,0,
NS1,0,0,88,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,1,
NS1,0,0,38,R,N/A,0,0,
NS1,0,0,62,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,1,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,52,R,N/A,0,0,
NS1,0,0,32,G,N/A,0,0,
NS1,7,0,54,G,N/A,0,0,
NS1,3,0,33,G,N/A,0,0,
NS1,6,0,29,G,N/A,0,0,
NS1,0,0,35,G,N/A,0,0,
NS1,8,0,22,G,N/A,0,0,
NS1,10,0,19,G,N/A,0,0,
NS1,15,0,40,G,N/A,0,0,
NS1,1,0,44,G,N/A,0,0,
NS1,24,0,31,G,N/A,0,0,
NS1,22,0,35,G,N/A,0,0,
NS1,8,0,26,G,N/A,0,0,
NS1,20,0,26,G,N/A,0,0,
NS1,3,0,40,G,N/A,0,0,
NS1,5,0,32,G,N/A,0,0,
NS1,5,0,52,G,N/A,0,0,
NS1,15,0,64,G,N/A,0,0,
NS1,1,0,69,G,N/A,0,0,
NS1,24,0,39,G,N/A,0,0,
NS1,9,0,32,G,N/A,0,0,
NS1,22,0,68,G,N/A,0,0,
NS1,8,0,73,G,N/A,0,0,
NS1,23,0,82,G,N/A,0,0,
NS1,1,0,63,G,N/A,0,0,
NS1,2,0,66,G,N/A,0,0,
NS1,16,0,42,A,N/A,0,1,
NS1,6,0,31,A,N/A,0,0,
NS1,18,0,27,A,N/A,0,0,
NS1,3,0,39,A,N/A,0,0,
NS1,11,0,38,A,N/A,0,0,
NS1,0,2,46,R,N/A,0,0,
NS1,0,1,47,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,57,R,N/A,0,0,
NS1,0,0,55,R,N/A,0,0,
NS1,0,2,59,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,47,R,N/A,0,0,
NS1,0,0,33,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,68,R,N/A,0,0,
NS1,0,0,85,R,N/A,0,0,
NS1,0,0,81,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,0,
NS1,0,0,82,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,88,R,N/A,0,1,
NS1,0,0,94,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,47,R,N/A,0,1,
NS1,0,0,47,R,N/A,0,0,
NS1,0,0,47,R,N/A,0,0,
NS1,0,0,76,R,N/A,0,0,
NS1,0,0,84,R,N/A,0,0,
NS1,0,0,62,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,1,
NS1,0,0,38,R,N/A,0,0,
NS1,0,0,52,R,N/A,0,0,
NS1,4,0,79,G,N/A,0,0,
NS1,0,0,59,G,N/A,0,0,
NS1,16,0,79,G,N/A,0,0,
NS1,24,0,61,G,N/A,0,0,
NS1,2,0,60,G,N/A,0,0,
NS1,0,0,36,G,N/A,0,0,
NS1,4,0,39,G,N/A,0,0,
NS1,23,0,46,G,N/A,0,0,
NS1,1,0,35,G,N/A,0,0,
NS1,23,0,69,G,N/A,0,0,
NS1,10,0,67,G,N/A,0,0,
NS1,17,0,65,G,N/A,0,0,
NS1,11,0,72,G,N/A,0,0,
NS1,7,0,75,G,N/A,0,0,
NS1,5,0,63,G,N/A,0,0,
NS1,8,0,68,G,N/A,0,0,
NS1,17,0,67,G,N/A,0,0,
NS1,23,0,44,G,N/A,0,0,
NS1,13,0,60,G,N/A,0,0,
NS1,14,0,52,G,N/A,0,0,
NS1,0,0,51,G,N/A,0,0,
NS1,7,0,35,G,N/A,0,0,
NS1,23,0,48,G,N/A,0,0,
NS1,14,0,60,G,N/A,0,0,
NS1,23,0,68,G,N/A,0,0,
NS1,20,0,46,A,N/A,0,0,
NS1,15,0,31,A,N/A,0,0,
NS1,8,0,53,A,N/A,0,0,
NS1,17,0,55,A,N/A,0,0,
NS1,8,0,46,A,N/A,0,0,
NS1,0,3,71,R,N/A,0,0,
NS1,0,1,57,R,N/A,0,0,
NS1,0,0,36,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,31,R,N/A,0,0,
NS1,0,0,21,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,56,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,62,R,N/A,0,0,
NS1,0,0,59,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,56,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,0,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,0,
NS1,0,0,52,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,44,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,85,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,17,0,60,G,N/A,0,0,
NS1,23,0,35,G,N/A,0,0,
NS1,7,0,71,G,N/A,0,0,
NS1,18,0,58,G,N/A,0,0,
NS1,6,0,66,G,N/A,0,0,
NS1,24,0,52,G,N/A,0,0,
NS1,17,0,39,G,N/A,0,0,
NS1,12,0,71,G,N/A,0,1,
NS1,3,0,45,G,N/A,0,0,
NS1,8,0,68,G,N/A,0,0,
NS1,15,0,49,G,N/A,0,0,
NS1,24,0,49,G,N/A,0,0,
NS1,6,0,56,G,N/A,0,0,
NS1,1,0,33,G,N/A,0,0,
NS1,2,0,60,G,N/A,0,0,
NS1,2,0,55,G,N/A,0,0,
NS1,9,0,78,G,N/A,0,0,
NS1,11,0,66,G,N/A,0,0,
NS1,23,0,87,G,N/A,0,0,
NS1,22,0,89,G,N/A,0,0,
NS1,12,0,49,G,N/A,0,0,
NS1,3,0,50,G,N/A,0,0,
NS1,18,0,68,G,N/A,0,0,
NS1,20,0,69,G,N/A,0,1,
NS1,16,0,42,G,N/A,0,0,
NS1,13,0,55,A,N/A,0,0,
NS1,2,0,38,A,N/A,0,0,
NS1,12,0,45,A,N/A,0,0,
NS1,11,0,73,A,N/A,0,0,
NS1,18,0,43,A,N/A,0,0,
NS1,0,3,61,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,1,
NS1,0,0,77,R,N/A,0,0,
NS1,0,0,83,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,35,R,N/A,0,0,
NS1,0,0,68,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,80,R,N/A,0,1,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,52,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,78,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,84,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,75,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,1,
NS1,0,0,55,R,N/A,0,0,
NS1,0,0,43,R,N/A,0,1,
NS1,0,0,54,R,N/A,0,1,
NS1,0,0,53,R,N/A,0,0,
NS1,0,0,56,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,0,
NS1,0,0,58,R,N/A,0,1,
NS1,0,0,53,R,N/A,0,0,
NS1,10,0,70,G,N/A,0,0,
NS1,19,0,57,G,N/A,0,1,
NS1,3,0,40,G,N/A,0,0,
NS1,9,0,50,G,N/A,0,0,
NS1,22,0,73,G,N/A,0,0,
NS1,16,0,57,G,N/A,0,0,
NS1,1,0,53,G,N/A,0,0,
NS1,16,0,71,G,N/A,0,0,
NS1,9,0,52,G,N/A,0,0,
NS1,10,0,42,G,N/A,0,1,
NS1,19,0,33,G,N/A,0,0,
NS1,4,0,25,G,N/A,0,0,
NS1,9,0,50,G,N/A,0,0,
NS1,23,0,66,G,N/A,0,0,
NS1,18,0,44,G,N/A,0,1,
NS1,4,0,43,G,N/A,0,0,
NS1,1,0,53,G,N/A,0,1,
NS1,0,0,50,G,N/A,0,0,
NS1,18,0,57,G,N/A,0,0,
NS1,12,0,69,G,N/A,0,0,
NS1,23,0,39,G,N/A,0,0,
NS1,10,0,41,G,N/A,0,0,
NS1,1,0,44,G,N/A,0,0,
NS1,11,0,68,G,N/A,0,1,
NS1,15,0,71,G,N/A,0,0,
NS1,5,0,44,A,N/A,0,0,
NS1,3,0,29,A,N/A,0,0,
NS1,19,0,60,A,N/A,0,0,
NS1,16,0,76,A,N/A,0,0,
NS1,12,0,61,A,N/A,0,0,
NS1,0,1,37,R,N/A,0,0,
NS1,0,0,38,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,43,R,N/A,0,0,
NS1,0,0,55,R,N/A,0,0,
NS1,0,0,67,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,35,R,N/A,0,0,
NS1,0,0,59,R,N/A,0,0,
NS1,0,0,77,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,40,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,30,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,47,R,N/A,0,0,
NS1,0,0,36,R,N/A,0,0,
NS1,0,0,23,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,40,R,N/A,0,0,
NS1,0,0,26,R,N/A,0,0,
NS1,0,0,36,R,N/A,0,0,
NS1,13,0,40,G,N/A,0,0,
NS1,7,0,57,G,N/A,0,0,
NS1,2,0,51,G,N/A,0,0,
NS1,4,0,40,G,N/A,0,0,
NS1,20,0,33,G,N/A,0,0,
NS1,13,0,22,G,N/A,0,0,
NS1,2,0,46,G,N/A,0,0,
NS1,17,0,62,G,N/A,0,0,
NS1,6,0,40,G,N/A,0,0,
NS1,18,0,74,G,N/A,0,0,
NS1,7,0,72,G,N/A,0,0,
NS1,24,0,62,G,N/A,0,0,
NS1,16,0,58,G,N/A,0,0,
NS1,23,0,68,G,N/A,0,0,
NS1,19,0,59,G,N/A,0,0,
NS1,23,0,51,G,N/A,0,0,
NS1,1,0,52,G,N/A,0,0,
NS1,7,0,49,G,N/A,0,0,
NS1,13,0,46,G,N/A,0,0,
NS1,2,0,35,G,N/A,0,0,
NS1,5,0,48,G,N/A,0,0,
NS1,9,0,59,G,N/A,0,0,
NS1,13,0,75,G,N/A,0,0,
NS1,7,0,53,G,N/A,0,1,
NS1,3,0,74,G,N/A,0,0,
NS1,24,0,54,A,N/A,0,0,
NS1,12,0,62,A,N/A,0,1,
NS1,15,0,70,A,N/A,0,0,
NS1,22,0,53,A,N/A,0,0,
NS1,16,0,73,A,N/A,0,0,
NS1,0,3,86,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,3,76,R,N/A,0,0,
NS1,0,2,83,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,59,R,N/A,0,0,
NS1,0,0,34,R,N/A,0,0,
NS1,0,0,33,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,71,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,50,R,N/A,0,0,
NS1,0,0,34,R,N/A,0,0,
NS1,0,0,31,R,N/A,0,0,
NS1,0,0,69,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,59,R,N/A,0,0,
NS1,0,0,66,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,57,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,57,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,70,R,N/A,0,0,
NS1,0,0,63,R,N/A,0,0,
NS1,0,0,76,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,6,0,43,G,N/A,0,0,
NS1,13,0,53,G,N/A,0,0,
NS1,12,0,63,G,N/A,0,0,
NS1,24,0,76,G,N/A,0,0,
NS1,4,0,70,G,N/A,0,0,
NS1,12,0,71,G,N/A,0,0,
NS1,20,0,86,G,N/A,0,0,
NS1,3,0,96,G,N/A,0,0,
NS1,8,0,96,G,N/A,0,0,
NS1,21,0,53,G,N/A,0,0,
NS1,13,0,65,G,N/A,0,0,
NS1,20,0,37,G,N/A,0,0,
NS1,3,0,64,G,N/A,0,0,
NS1,10,0,66,G,N/A,0,0,
NS1,22,0,61,G,N/A,0,1,
NS1,19,0,81,G,N/A,0,0,
NS1,22,0,56,G,N/A,0,0,
NS1,14,0,66,G,N/A,0,0,
NS1,5,0,86,G,N/A,0,0,
NS1,1,0,93,G,N/A,0,0,
NS1,21,0,64,G,N/A,0,0,
NS1,17,0,49,G,N/A,0,0,
NS1,15,0,59,G,N/A,0,0,
NS1,15,0,74,G,N/A,0,0,
NS1,23,0,63,G,N/A,0,0,
NS1,0,0,52,A,N/A,0,0,
NS1,12,0,61,A,N/A,0,0,
NS1,21,0,38,A,N/A,0,0,
NS1,17,0,41,A,N/A,0,1,
NS1,1,0,35,A,N/A,0,0,
NS1,0,2,41,R,N/A,0,0,
NS1,0,0,61,R,N/A,0,0,
NS1,0,0,40,R,N/A,0,0,
NS1,0,0,28,R,N/A,0,0,
NS1,0,0,34,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,45,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,72,R,N/A,0,0,
NS1,0,0,68,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,74,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,42,R,N/A,0,1,
NS1,0,0,38,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,25,R,N/A,0,0,
NS1,0,0,21,R,N/A,0,0,
NS1,0,0,28,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,62,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,84,R,N/A,0,0,
NS1,0,0,85,R,N/A,0,0,
NS1,0,0,96,R,N/A,0,0,
NS1,15,0,53,G,N/A,0,0,
NS1,14,0,54,G,N/A,0,0,
NS1,22,0,71,G,N/A,0,1,
NS1,5,0,67,G,N/A,0,0,
NS1,5,0,50,G,N/A,0,0,
NS1,12,0,66,G,N/A,0,0,
NS1,3,0,66,G,N/A,0,0,
NS1,24,0,67,G,N/A,0,0,
NS1,11,0,64,G,N/A,0,0,
NS1,19,0,75,G,N/A,0,0,
NS1,2,0,53,G,N/A,0,0,
NS1,1,0,68,G,N/A,0,0,
NS1,16,0,75,G,N/A,0,0,
NS1,16,0,60,G,N/A,0,0,
NS1,0,0,51,G,N/A,0,0,
NS1,22,0,61,G,N/A,0,0,
NS1,12,0,45,G,N/A,0,0,
NS1,1,0,59,G,N/A,0,0,
NS1,3,0,68,G,N/A,0,0,
NS1,20,0,47,G,N/A,0,0,
NS1,1,0,59,G,N/A,0,0,
NS1,22,0,80,G,N/A,0,0,
NS1,22,0,91,G,N/A,0,0,
NS1,14,0,87,G,N/A,0,0,
NS1,22,0,68,G,N/A,0,0,
NS1,8,0,85,A,N/A,0,0,
NS1,15,0,90,A,N/A,0,0,
NS1,21,0,92,A,N/A,0,0,
NS1,0,0,62,A,N/A,0,0,
NS1,1,0,84,A,N/A,0,0,
NS1,0,3,72,R,N/A,0,0,
NS1,0,0,56,R,N/A,0,0,
NS1,0,2,81,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,93,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,51,R,N/A,0,0,
NS1,0,0,42,R,N/A,0,0,
NS1,0,0,29,R,N/A,0,0,
NS1,0,0,35,R,N/A,0,0,
NS1,0,0,46,R,N/A,0,0,
NS1,0,0,76,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,79,R,N/A,0,0,
NS1,0,0,54,R,N/A,0,0,
NS1,0,0,73,R,N/A,0,0,
NS1,0,0,78,R,N/A,0,0,
NS1,0,0,55,R,N/A,0,0,
NS1,0,0,64,R,N/A,0,0,
NS1,0,0,48,R,N/A,0,0,
NS1,0,0,65,R,N/A,0,0,
NS1,0,0,41,R,N/A,0,0,
NS1,0,0,49,R,N/A,0,0,
NS1,0,0,39,R,N/A,0,0,
NS1,0,0,28,R,N/A,0,0,
NS1,0,0,60,R,N/A,0,0,
NS1,0,0,40,R,N/A,0,0,
NS1,0,0,26,R,N/A,0,0,
NS1,0,0,36,R,N/A,0,0,
